n_panels,battery_kwh,reliability_pct,total_cost_usd,pump,inverter,wiring,misc,panels_extra,battery,shipping,weight_kg
13,1.0,96.82,4604.95,1000.0,1200.0,500.0,300.0,0.0,330.0,1274.9544187499998,317.5
15,1.0,97.74,4735.3,1000.0,1200.0,500.0,300.0,0.0,330.0,1405.30257625,360.5
11,2.0,97.22,4837.95,1000.0,1200.0,500.0,300.0,0.0,660.0,1177.95113875,285.5
13,2.0,98.82,4968.3,1000.0,1200.0,500.0,300.0,0.0,660.0,1308.2992962499998,328.5
9,3.0,95.89,5070.95,1000.0,1200.0,500.0,300.0,0.0,990.0,1080.94785875,253.5
15,2.0,99.43,5098.65,1000.0,1200.0,500.0,300.0,0.0,660.0,1438.6474537499998,371.5
11,3.0,98.99,5201.3,1000.0,1200.0,500.0,300.0,0.0,990.0,1211.2960162499999,296.5
13,3.0,99.57,5331.64,1000.0,1200.0,500.0,300.0,0.0,990.0,1341.64417375,339.5
9,4.0,98.05,5359.29,1000.0,1200.0,500.0,300.0,0.0,1245.0,1114.29273625,264.5
15,3.0,99.71,5461.99,1000.0,1200.0,500.0,300.0,0.0,990.0,1471.9923312499998,382.5
11,4.0,99.43,5489.64,1000.0,1200.0,500.0,300.0,0.0,1245.0,1244.6408937499998,307.5
7,5.0,96.46,5517.29,1000.0,1200.0,500.0,300.0,0.0,1500.0,1017.2894562500001,232.5
13,4.0,99.71,5619.99,1000.0,1200.0,500.0,300.0,0.0,1245.0,1374.9890512499999,350.5
9,5.0,99.43,5647.64,1000.0,1200.0,500.0,300.0,0.0,1500.0,1147.6376137500001,275.5
15,4.0,99.86,5750.34,1000.0,1200.0,500.0,300.0,0.0,1245.0,1505.3372087499997,393.5
11,5.0,99.72,5777.99,1000.0,1200.0,500.0,300.0,0.0,1500.0,1277.9857712499997,318.5
13,5.0,99.86,5908.33,1000.0,1200.0,500.0,300.0,0.0,1500.0,1408.3339287499998,361.5
15,5.0,100.0,6038.68,1000.0,1200.0,500.0,300.0,0.0,1500.0,1538.6820862499999,404.5
